"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",6.6150828884464e-197,4.29396456976295,0.978,0.048,1.5775649672367e-192,"0","S100A12"
"2",1.38805900678509e-192,3.8053809603746,0.986,0.066,3.31024311938108e-188,"0","VCAN"
"3",8.2417256593891e-185,3.33438671160802,0.996,0.093,1.96548673525111e-180,"0","MNDA"
"4",4.64879105654135e-184,2.19808212434183,0.949,0.05,1.10864369116398e-179,"0","AC020656.1"
"5",2.86723198281105e-183,6.00892327116037,0.989,0.112,6.83777483260778e-179,"0","S100A8"
"6",6.36070346741984e-180,2.67028122798007,0.953,0.061,1.51690056291028e-175,"0","CD14"
"7",4.28993306494132e-176,2.37973425580888,0.968,0.076,1.02306323732721e-171,"0","CSTA"
"8",1.52443302799602e-171,5.53181084796341,0.993,0.164,3.63546788516491e-167,"0","S100A9"
"9",1.50034616138068e-169,4.59721557139815,1,0.175,3.57802552566065e-165,"0","LYZ"
"10",1.00861944419194e-167,2.31643162450423,0.892,0.053,2.40535565050894e-163,"0","PLBD1"
"11",1.08867983115332e-165,2.38076639430673,0.957,0.097,2.59628366133445e-161,"0","CD36"
"12",8.15486169698258e-164,2.50713879188537,0.957,0.085,1.94477141749641e-159,"0","MS4A6A"
"13",8.96364101666035e-162,3.1246135088643,0.993,0.132,2.13764910965316e-157,"0","FCN1"
"14",2.17915244414304e-160,2.19664530578188,0.971,0.1,5.19684274879233e-156,"0","NCF2"
"15",1.41644224418475e-158,2.44649549655933,0.982,0.114,3.37793146393179e-154,"0","KLF4"
"16",1.69306603728817e-158,2.23121172549059,0.953,0.117,4.03762388572482e-154,"0","CSF3R"
"17",6.4224233582432e-157,2.39735112815831,0.993,0.121,1.53161952247384e-152,"0","FGL2"
"18",2.50709936445459e-155,2.21797622547524,0.982,0.132,5.9789305643513e-151,"0","MPEG1"
"19",8.3413082946157e-150,2.32140111911279,0.989,0.193,1.98923520209995e-145,"0","GRN"
"20",1.58215311748402e-148,1.82934426332617,0.913,0.08,3.7731187545759e-144,"0","TNFAIP2"
"21",9.58038292348494e-146,1.99443739847691,0.968,0.085,2.28472971959269e-141,"0","SERPINA1"
"22",3.44016993557334e-145,2.5585802507974,1,0.114,8.20411726235529e-141,"0","CST3"
"23",1.17540072126671e-144,2.23263786134566,0.978,0.186,2.80309564007686e-140,"0","CYBB"
"24",1.0275675429369e-143,1.81250829774922,0.935,0.102,2.45054307639591e-139,"0","CLEC7A"
"25",3.50027732213677e-142,2.03012157058771,0.921,0.084,8.34746135783177e-138,"0","CPVL"
"26",6.48004288166222e-142,1.46310020680049,0.87,0.072,1.54536062641881e-137,"0","RAB32"
"27",8.33318951025519e-141,1.91316068960304,0.968,0.17,1.98729903440566e-136,"0","RNF130"
"28",4.53813502328754e-140,1.74261371493006,0.877,0.085,1.08225444035361e-135,"0","TGFBI"
"29",2.51884895890407e-139,1.81647115662375,0.859,0.086,6.00695099719442e-135,"0","KCTD12"
"30",1.05599411730374e-138,2.39229550868822,0.971,0.201,2.51833477094596e-134,"0","CEBPD"
"31",1.22446346091473e-137,1.55657109011671,0.838,0.07,2.92010046158945e-133,"0","CLEC12A"
"32",8.35681019116342e-136,1.45316185125766,0.812,0.057,1.99293209438865e-131,"0","CD93"
"33",5.89603939583705e-135,2.18240343747743,0.982,0.305,1.40608747511922e-130,"0","APLP2"
"34",2.52796626876843e-134,1.57304262492457,0.852,0.088,6.02869395775896e-130,"0","FPR1"
"35",6.90561917946717e-134,1.50547656847699,0.834,0.079,1.64685206191933e-129,"0","CD302"
"36",1.075240722205e-132,1.52876454745835,0.863,0.093,2.56423407431447e-128,"0","TIMP2"
"37",1.48783146008219e-132,1.81243146067044,0.805,0.053,3.54818046600401e-128,"0","LGALS2"
"38",1.59029305300134e-132,2.44752890879091,0.942,0.183,3.7925308727976e-128,"0","RGS2"
